cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_type,veil_color,ring_number,ring_type,spore_print_color,population,habitat
convex,scaly,white,yes,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,meadows
flat,scaly,brown,yes,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,grasses
flat,smooth,gray,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses
convex,smooth,yellow,yes,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,meadows
convex,smooth,white,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,scattered,grasses
bell,smooth,yellow,yes,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,grasses
flat,fibrous,gray,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses
convex,smooth,white,yes,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,grasses
bell,smooth,white,yes,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,meadows
bell,smooth,white,yes,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,grasses
bell,scaly,white,yes,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,meadows
flat,smooth,white,yes,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,purple,several,woods
convex,scaly,yellow,yes,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,meadows
flat,smooth,white,yes,almond,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods
convex,scaly,white,yes,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,urban
flat,fibrous,white,yes,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods
convex,scaly,yellow,yes,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,grasses
convex,smooth,brown,yes,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,grasses
bell,smooth,yellow,yes,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,grasses
convex,scaly,brown,yes,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,black,solitary,paths
bell,scaly,yellow,yes,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,meadows
sunken,fibrous,brown,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,urban
flat,scaly,brown,yes,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,black,solitary,paths
convex,scaly,yellow,yes,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,grasses
convex,fibrous,gray,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,scattered,grasses
flat,fibrous,white,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,abundant,grasses
convex,scaly,yellow,yes,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,meadows
bell,smooth,yellow,yes,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,grasses
bell,scaly,white,yes,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,meadows
convex,scaly,white,yes,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,grasses
convex,smooth,brown,no,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses
convex,scaly,white,yes,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,grasses
sunken,fibrous,brown,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,urban
convex,smooth,white,yes,almond,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,purple,several,woods
convex,scaly,brown,yes,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,black,scattered,grasses
bell,scaly,yellow,yes,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,grasses
convex,scaly,white,yes,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,grasses
bell,scaly,white,yes,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,meadows
bell,smooth,yellow,yes,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,grasses
bell,smooth,yellow,yes,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,meadows
bell,scaly,yellow,yes,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,grasses
convex,fibrous,brown,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,solitary,urban
flat,scaly,brown,yes,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,brown,solitary,grasses
convex,scaly,white,yes,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,grasses
flat,scaly,yellow,yes,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,brown,solitary,paths
bell,smooth,white,yes,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,grasses
bell,smooth,white,yes,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,meadows
convex,scaly,brown,yes,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,black,solitary,grasses
bell,smooth,white,yes,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,grasses
convex,fibrous,gray,no,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,solitary,urban
bell,smooth,yellow,yes,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,grasses
convex,fibrous,yellow,yes,anise,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,purple,several,woods
bell,scaly,yellow,yes,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,grasses
flat,scaly,yellow,yes,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,brown,scattered,grasses
bell,scaly,white,yes,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,meadows
bell,scaly,white,yes,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,meadows
bell,scaly,yellow,yes,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,grasses
convex,scaly,yellow,yes,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,meadows
bell,smooth,yellow,yes,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,grasses
convex,scaly,white,yes,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,urban
sunken,fibrous,brown,no,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,solitary,urban
flat,fibrous,brown,no,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,urban
convex,smooth,yellow,yes,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,meadows
flat,scaly,brown,yes,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,black,scattered,paths
convex,scaly,white,yes,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,grasses
bell,smooth,white,yes,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,meadows
flat,fibrous,gray,no,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,urban
bell,scaly,yellow,yes,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,grasses
convex,scaly,brown,yes,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,brown,solitary,paths
convex,fibrous,white,no,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,scattered,grasses
convex,smooth,white,yes,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods
bell,smooth,white,yes,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,meadows
flat,smooth,yellow,yes,almond,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods
convex,smooth,yellow,yes,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,meadows
flat,fibrous,gray,no,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,solitary,urban
bell,smooth,yellow,yes,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,grasses
convex,smooth,white,yes,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,meadows
convex,scaly,white,yes,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,meadows
flat,smooth,white,yes,almond,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods
convex,scaly,yellow,yes,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,grasses
bell,smooth,white,yes,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,grasses
convex,smooth,white,yes,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,grasses
convex,fibrous,white,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,scattered,grasses
flat,scaly,brown,yes,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,black,solitary,paths
